dx;dy;dz;vecsize;timing
1;1;1;1;0.00525248
2;1;1;1;0.0051904
3;1;1;1;0.00520576
4;1;1;1;0.00528192
8;1;1;1;0.00522368
16;1;1;1;0.00517632
32;1;1;1;0.00518784
64;1;1;1;0.0051584
128;1;1;1;0.00514496
256;1;1;1;0.0051552
512;1;1;1;0.00515392
1024;1;1;1;0.00513856
1025;1;1;1;0.00517952
1536;1;1;1;0.00521536
1;1;1;65;0.00546944
2;1;1;65;0.00538816
3;1;1;65;0.00539648
4;1;1;65;0.00528
8;1;1;65;0.0052992
16;1;1;65;0.00523392
32;1;1;65;0.00523904
64;1;1;65;0.00522368
128;1;1;65;0.00521152
256;1;1;65;0.00519872
512;1;1;65;0.00516672
1024;1;1;65;0.00518912
1025;1;1;65;0.0052384
1536;1;1;65;0.005296
1;1;1;1048607;6.65285
2;1;1;1048607;2.86238
3;1;1;1048607;2.15888
4;1;1;1048607;1.49735
8;1;1;1048607;1.19044
16;1;1;1048607;0.680122
32;1;1;1048607;0.69188
64;1;1;1048607;0.697117
128;1;1;1048607;0.69663
256;1;1;1048607;0.705004
512;1;1;1048607;0.708382
1024;1;1;1048607;0.69864
1025;1;1;1048607;0.719665
1536;1;1;1048607;0.700442
1;1;1;134217728;786.321
2;1;1;134217728;333.632
3;1;1;134217728;237.981
4;1;1;134217728;173.848
8;1;1;134217728;126.73
16;1;1;134217728;84.8529
32;1;1;134217728;86.198
64;1;1;134217728;87.0282
128;1;1;134217728;87.0353
256;1;1;134217728;87.0989
512;1;1;134217728;87.1644
1024;1;1;134217728;87.2737
1025;1;1;134217728;87.6736
1536;1;1;134217728;88.3572
